Employee ID,Store ID,Name,Position
1,1,Stephen Johnson,Store Manager
2,1,Rebecca Myers,Assistant Manager
3,1,Katherine Buchanan,Cashier
4,1,Jessica Hicks,Stock Clerk
5,1,Ryan Gross,Sales Associate
6,1,Jeffery Carlson,Sales Associate
7,1,Melissa Wilson,Sales Associate
8,1,Edward Hicks,Sales Associate
9,1,Shari Jordan,Sales Associate
10,1,Mrs. Melissa Caldwell DDS,Sales Associate
11,1,Regina Nelson,Sales Associate
12,1,Kevin Dawson,Sales Associate
13,1,Nicole Murphy,Sales Associate
14,2,Susan Brown,Store Manager
15,2,Sean Miller,Assistant Manager
16,2,Christopher Dominguez,Cashier
17,2,Lisa Mason,Stock Clerk
18,2,David Pitts,Sales Associate
19,2,Lance Schultz,Sales Associate
20,2,Caroline Hall,Sales Associate
21,2,Heather Wilson,Sales Associate
22,2,Allison Young,Sales Associate
23,2,Kathleen Thomas,Sales Associate
24,2,Carl Walters,Sales Associate
25,3,Kevin Douglas,Store Manager
26,3,Stephanie Larson,Assistant Manager
27,3,Andrew Thompson,Cashier
28,3,Erica Davis,Stock Clerk
29,3,Cynthia Serrano,Sales Associate
30,3,Brittany Gonzalez,Sales Associate
31,3,Patrick Simmons,Sales Associate
32,3,Jennifer Johnson,Sales Associate
33,3,Lynn Torres,Sales Associate
34,3,Adam Long,Sales Associate
35,3,Christopher Willis,Sales Associate
36,3,Zachary Leonard,Sales Associate
37,4,Justin Johnson,Store Manager
38,4,Michael Lewis,Assistant Manager
39,4,Kevin Chapman,Cashier
40,4,Christopher Garrett,Stock Clerk
41,4,Jonathan Cooley,Sales Associate
42,4,Christine Garner,Sales Associate
43,4,Joshua Sharp,Sales Associate
44,4,Laura Whitehead,Sales Associate
45,4,Jeremy Wolfe,Sales Associate
46,4,Denise Harmon,Sales Associate
47,4,Allen Fischer,Sales Associate
48,4,Robert Price,Sales Associate
49,4,Victoria Parker,Sales Associate
50,5,Brandon Allen,Store Manager
51,5,Matthew Klein,Assistant Manager
52,5,Richard Miller,Cashier
53,5,Teresa Wise,Stock Clerk
54,5,Ronald Shannon,Sales Associate
55,5,Kayla Hernandez,Sales Associate
56,5,Ariel Morse,Sales Associate
57,5,Kevin Stevens,Sales Associate
58,5,Austin Bonilla,Sales Associate
59,5,Larry Gutierrez,Sales Associate
60,5,John Garza,Sales Associate
61,5,Ruth Smith,Sales Associate
62,6,张婷,Store Manager
63,6,唐宇,Assistant Manager
64,6,谢芳,Cashier
65,6,王坤,Stock Clerk
66,6,莫凤英,Sales Associate
67,6,农健,Sales Associate
68,6,罗彬,Sales Associate
69,6,梁欣,Sales Associate
70,6,蒋坤,Sales Associate
71,6,李淑英,Sales Associate
72,6,黄想,Sales Associate
73,7,李瑜,Store Manager
74,7,陈帅,Assistant Manager
75,7,欧玉,Cashier
76,7,林涛,Stock Clerk
77,7,孔桂香,Sales Associate
78,7,杨琳,Sales Associate
79,7,黄华,Sales Associate
80,7,何兰英,Sales Associate
81,7,张杰,Sales Associate
82,7,应小红,Sales Associate
83,7,林淑英,Sales Associate
84,7,唐旭,Sales Associate
85,7,刘宁,Sales Associate
86,8,邱桂珍,Store Manager
87,8,夏红霞,Assistant Manager
88,8,胡秀云,Cashier
89,8,刘建,Stock Clerk
90,8,胡秀云,Sales Associate
91,8,周秀兰,Sales Associate
92,8,汤建华,Sales Associate
93,8,夏艳,Sales Associate
94,8,杨凤英,Sales Associate
95,8,李建国,Sales Associate
96,8,李玉兰,Sales Associate
97,8,郑琳,Sales Associate
98,8,郭海燕,Sales Associate
99,9,王晨,Store Manager
100,9,石春梅,Assistant Manager
101,9,李帅,Cashier
102,9,史荣,Stock Clerk
103,9,陈淑英,Sales Associate
104,9,刘宁,Sales Associate
105,9,许冬梅,Sales Associate
106,9,胡婷,Sales Associate
107,9,易玉,Sales Associate
108,9,林玉,Sales Associate
109,9,詹淑华,Sales Associate
110,9,岳金凤,Sales Associate
111,10,苏萍,Store Manager
112,10,吴建平,Assistant Manager
113,10,余建华,Cashier
114,10,冷成,Stock Clerk
115,10,梁秀云,Sales Associate
116,10,李玲,Sales Associate
117,10,王柳,Sales Associate
118,10,贾淑英,Sales Associate
119,10,查帅,Sales Associate
120,10,刘宁,Sales Associate
121,10,刘阳,Sales Associate
122,10,王建平,Sales Associate
123,10,童淑英,Sales Associate
124,11,Hansjoachim Nette-Bolnbach,Store Manager
125,11,Drago Hornig,Assistant Manager
126,11,Janusz Schmiedecke B.Sc.,Cashier
127,11,Dr. Gilbert Trommler B.A.,Stock Clerk
128,11,Desiree Warmer-Wähner,Sales Associate
129,11,Reingard Jacobi Jäckel,Sales Associate
130,11,Univ.Prof. Ditmar Scheuermann B.Eng.,Sales Associate
131,11,Frieda Geisler,Sales Associate
132,11,Herr Hellmut Kraus,Sales Associate
133,11,Hannes Biggen,Sales Associate
134,11,Meinhard Linke,Sales Associate
135,11,Isabelle Hauffer,Sales Associate
136,12,Sibel Siering-Ullmann,Store Manager
137,12,Frau Annelise Blümel,Assistant Manager
138,12,Dr. Tim Henschel,Cashier
139,12,Gerta Blümel,Stock Clerk
140,12,Dr. Diane Oestrovsky,Sales Associate
141,12,Wanda Stumpf,Sales Associate
142,12,Dagmar Dehmel-Kusch,Sales Associate
143,12,Harold Preiß,Sales Associate
144,12,Heike Römer,Sales Associate
145,12,Elisa Junck B.Sc.,Sales Associate
146,12,Dr. Anita Seifert MBA.,Sales Associate
147,12,Pero Birnbaum B.A.,Sales Associate
